top - 13:08:13 up 2 days,  3:34,  1 user,  load average: 0.71, 1.30, 1.15
Tasks: 394 total,   1 running, 393 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.0 us,  3.5 sy,  0.0 ni, 86.4 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :  15767.8 total,    783.3 free,   5477.5 used,   9507.0 buff/cache
MiB Swap:  32768.0 total,  32765.5 free,      2.5 used.   8708.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1540 kernoops  20   0   11264    444      0 S   0.0   0.0   0:03.46 kernelo+
   1729 rtkit     21   1  152936   2884   2644 S   0.0   0.0   0:00.88 rtkit-d+
   1757 root      20   0   32808   4560   2024 S   0.0   0.0   0:02.02 sendmai+
   1802 root      20   0    2496    516    448 S   0.0   0.0   0:00.40 bpfilte+
   2138 root      20   0  239612   8436   7256 S   0.0   0.1   0:00.05 gdm3
   2928 root      20   0 1078504   3172   2560 S   0.0   0.0   0:00.06 docker-+
   2934 root      20   0 1522176   3316   2456 S   0.0   0.0   0:00.06 docker-+
   2982 root      20   0  712444  10100   7560 S   0.0   0.1   0:05.95 contain+
   2983 root      20   0  712444   9856   7436 S   0.0   0.1   0:06.32 contain+
   3049 systemd+  20   0 1212508 182248  18564 S   0.0   1.1   0:57.92 mysqld
   3050 root      20   0  233340  36012  28644 S   0.0   0.2   0:03.45 apache2
   3440 www-data  20   0  311212  52280  39196 S   0.0   0.3   0:00.45 apache2
   3441 www-data  20   0  309156  45932  35088 S   0.0   0.3   0:00.04 apache2
   3442 www-data  20   0  233824  11096   3452 S   0.0   0.1   0:00.00 apache2
   3443 www-data  20   0  233824  11016   3444 S   0.0   0.1   0:00.00 apache2
   3444 www-data  20   0  233824  11044   3480 S   0.0   0.1   0:00.00 apache2
   3866 root      20   0  339444  10480   8624 S   0.0   0.1   0:00.09 gdm-ses+
   3881 abhishe+  20   0   21280  11792   8108 S   0.0   0.1   0:02.99 systemd
   3883 abhishe+  20   0  195072   3664      0 S   0.0   0.0   0:00.00 (sd-pam)
   3889 abhishe+   9 -11 3350312  19676  15188 S   0.0   0.1  16:05.79 pulseau+
   3891 abhishe+  39  19  724660  24480  15728 S   0.0   0.2   0:11.26 tracker+
   3895 abhishe+  20   0   27112   5740   3800 S   0.0   0.0   0:35.55 dbus-da+
   3897 abhishe+  20   0  240188   7688   6752 S   0.0   0.0   0:06.43 gnome-k+
   3914 abhishe+  20   0  239812   7964   6868 S   0.0   0.0   0:00.95 gvfsd
   3919 abhishe+  20   0  378348   6460   5792 S   0.0   0.0   0:00.00 gvfsd-f+
   3927 abhishe+  20   0  322428   9364   7684 S   0.0   0.1   0:00.74 gvfs-ud+
   3934 abhishe+  20   0  238108   6836   6052 S   0.0   0.0   0:00.57 gvfs-gp+
   3938 abhishe+  20   0  316728   8896   7880 S   0.0   0.1   0:02.84 gvfs-af+
   3944 abhishe+  20   0  235832   6344   5644 S   0.0   0.0   0:00.54 gvfs-mt+
   3948 abhishe+  20   0  236008   5964   5428 S   0.0   0.0   0:00.53 gvfs-go+
   3953 abhishe+  20   0  553152  35024  28588 S   0.0   0.2   0:26.27 goa-dae+
   3955 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   3963 abhishe+  20   0  314240   8952   7684 S   0.0   0.1   0:36.40 goa-ide+
   3968 abhishe+  20   0  239900   7484   6808 S   0.0   0.0   0:00.00 gnome-k+
   3986 abhishe+  20   0  164020   6456   5824 S   0.0   0.0   0:00.00 gdm-x-s+
   4004 abhishe+  20   0  188216  13492  11984 S   0.0   0.1   0:00.02 gnome-s+
   4072 abhishe+  20   0    6044    456      0 S   0.0   0.0   0:00.26 ssh-age+
   4090 abhishe+  20   0  305416   6640   6060 S   0.0   0.0   0:00.00 at-spi-+
